St: 001001; Bosphorus, Teknik Grup
St: 001565; Agrar del Sur - Balcarce, MeteoStar Team
St: 001566; Aviación Trombetta - Realico, MeteoStar
St: 001567; El Pensamiento, Los Altos - Catamarca, MeteoStar Team
St: 001568; Villa Caferatta, MeteoStar
St: 001569; MARCLoc 1 - Maca Maca, MeteoStar
St: 001570; MARCLoc 2 - Sabilani, MeteoStar
St: 001571; MARCLoc 4, MeteoStar
St: 001572; MARCLoc 6, MeteoStar
St: 001573; MARCLoc7, La Paz, MeteoStar
St: 001574; MARCLoc 8, La Paz, MeteoStar
St: 001575; Yacht Club Entrerriano, MeteoStar Team
St: 001576; ProteccionCivilVLA2, MeteoStar
St: 001577; El Orejano de Ortuzar, MeteoStar Team
St: 001578; Chubut, Argentina, El Pedregoso
St: 001579; Doñapilar, MeteoStar
St: 001580; Yunka Suma (CTC), MeteoStar Team
St: 001581; Zona Oeste de SFVC (CTC), MeteoStar Team
St: 001582; Bella Vista (CTC), MeteoStar Team
St: 001583; Aeródromo Sierra Grande, MeteoStar Team
St: 001584; Alemeteo, MeteoStar
St: 001585; fortin, davis
St: 001586; fortin, davis
St: 001587; fortin, davis
St: 001588; Baie des Citrons, Casa Del Sole
St: 001589; test, DC Test 1
St: 001590; The Maharees, JKW Surf Shop
St: 001591; Náutica Perequê-açu, Náutica 1
St: 001592; El Calafate, Aeropuerto Viejo, El Calafate
St: 001593; SV2BZQ-2, Foltopoulos George
St: 001594; Prasonisi, ProCenter Prasonisi
St: 001595; Sluice Point, Pointe Du Sault
St: 001596; Tusket, Tusket
St: 001597; 
St: 001598; La Rioja Centro, MeteoStar Team
St: 001599; MYCAI RAWSON, MeteoStar Team
St: 001600; Maria Lucila, MeteoStar Team
St: 001601; Embalse Puclaro, Windonline.cl
St: 001602; Lago Rupanco, Windonline.cl
St: 001603; Es San Ramón, MeteoStar
St: 001604; Cañadon Leon, MeteoStar Team
St: 001605; Meteo, MeteoLourinhã
St: 001606; El Nihuil - ASMK, MeteoStar Team
St: 001607; Esc. Dr Sabattini MATTEO I, MeteoStar
St: 001608; Thonon les bains
St: 001609; LU4FBS-13 - Alcorta, MeteoStar Team
St: 001610; Fecac2 - Cordoba, MeteoStar
St: 001611; 25Clima, MeteoStar
St: 001612; QUILLEN, MeteoStar
St: 001613; Citedef2 - Villa Martelli, MeteoStar
St: 001614; Zona Sur Chivilcoy, MeteoStar Team
St: 001615; Big Oak Marina, Alpha Quadrant
St: 001616; Rinchoa, JBFitares
St: 001617; Ignalina, ITV meteo
St: 001618; Avontuur, Breevlei
St: 001619; 
St: 001620; 
St: 001621; 
St: 001622; 
St: 001623; 
St: 001624; 
St: 001625; 
St: 001626; 
St: 001627; 
St: 001628; 
St: 001629; 
St: 001630; 
St: 001631; 
St: 001632; 
St: 001633; 
St: 001634; 
St: 001635; 
St: 001636; 
St: 001637; 
St: 001638; 
St: 001639; 
St: 001640; 
St: 001641; 
St: 001642; 
St: 001643; Lusby, Lusby Live!
St: 001644; Hirono, Hirono
St: 001645; Altos de San Lorenzo, MeteoStar
St: 001646; Municipalidad Resistencia, MeteoStar Team
St: 001647; UK, Devon, Clyst St Lawrence, mark dixon
St: 001648; NAXOS GALANADON-GREECE, NAXOS GALANADON-GREECE
St: 001649; ventryweather, ventryweather
St: 001650; Caldecotte Lake, MKSC
St: 001651; Choilo, Casas Azeitao, Portugal
St: 001652; Coldstream, BC, King Eddy Launch
St: 001653; Raglan kite beach, Ozone Weather Station
St: 001654; Salinas, Salinas_Station
St: 001655; windsurf, Varadero
St: 001656; La Merced (CTC), MeteoStar Team
St: 001657; Ööri, Saaremaa surfiklubi
St: 001658; Australia, Queensland, Boreen Point, Lake Cootharaba
St: 001659; Collierville TN, Cwa collierville
St: 001660; Meteo Adrogué, MeteoStar Team
St: 001661; SMHPGOP01 - Pergamino, MeteoStar Team
St: 001662; Crans-Montana, Valais, Switzerland, Plaine-Morte, CVLCMA
St: 001663; Bambarra Beach, Bambarra Beach
St: 001664; Velaa Private Island Maldives, 880
St: 001665; Norway, Bergen, Raunefjorden, Bergens Seilforening
St: 001666; Dakhla, Lagoon, Zenith Dakhla
St: 001667; Arhipo-Osipovka, MORSKAYA10
St: 001668; Playa del Sardinero, tiempo.fiochi.com
St: 001669; Real Club Maritimo de Santander, rcmsantander
St: 001670; PENINSULA DE SAN PEDRO, BRAZO CAMPANARIO, REMALA BARILOCHE
St: 001671; Lobos, Lobos
St: 001672; Germany, Usingen-Eschbach, Eschbach
St: 001673; Ravna Gora, KPJ Let i donatori
St: 001674; Awhitu, B K HAMILTON
St: 001675; Southwest Hoosick, KnyHoosick
St: 001676; Middelburg, Meteo Middelburg
St: 001677; Bahía Blanca, meteolucas.com
St: 001678; Thousand Palms, CA, DesertWeather
St: 001679; Särö/Buskärs weather station, Särö/Buskär
St: 001680; LLiria, |Servicio Meteorologico MeteoLLiria|
St: 001681; Ocean Park, TravelingRVWx
St: 001682; martindale, weatheryyc
St: 001683; Apache Mesa, Apache Mesa
St: 001684; Knjaževac, Meteo Knjaževac
St: 001685; Babin Zub - Mountain house, Babin Zub
St: 001686; Wetterstation-Oberessliingen, Wetterstation-Oberesslingen
St: 001687; Test_test_test, 1chip.ru Test_test_test
St: 001688; Faversham, Faversham Weather Station
St: 001689; LA FRATERNIDAD - GRAL RODRIGUEZ, PEUMAYENESTMET
St: 001690; Halmstad, Eketånga, martinsweather
St: 001691; New Longton, New Longton
St: 001692; Lisbon, Lisbon
St: 001693; SMHPGOP02, MeteoStar Team
St: 001694; SMHPGOP03, MeteoStar Team
St: 001695; SMHPGOP04, MeteoStar Team
St: 001696; SMHPGOP05, MeteoStar Team
St: 001697; Olomouc, Meteo Olomouc
St: 001698; La Mouette Sinagote, Moustérian, Séné, 937
St: 001699; Primorsk kosa, AzovKite
St: 001700; Unknown spot, Unknown WG Station
St: 001701; Matapihi, Tauranga, Elite Weather NZ Tauranga
St: 001702; WebcamEgmond.nl, WebcamEgmond.nl
St: 001703; Egmond aan Zee, WebcamEgmond.nl
St: 001704; Tres Arroyos, Wxyos
St: 001705; Agatha AB15, Ahatha AB15
St: 001706; Suurpea / Hara laht, Suurpea ilm
St: 001707; Cerna, CEE Cerna
St: 001708; Concon, RaulZ.T.
St: 001709; Studentenzeilvereniging ALSZV De Blauwe Schuit, Kagerplassen
St: 001710; Daganzo de Arriba, MeteoDaganzo
St: 001711; Tribschenhorn, Segelklub Tribschenhorn SCT
St: 001712; testlocatie Amsterdam, testlocatie Amsterdam
St: 001713; testlocatie Amsterdam, testlocatie Amsterdam
St: 001714; Bain Boeuf, Bain Boeuf
St: 001715; Munlochy Scotland, MIllbankPWS
St: 001716; Plérin, AANB Plérin
St: 001717; Alex Robinson Cona Bustos, Alex Robinson Cona Bustos
St: 001718; DRAFI, DRAFI-NIK
St: 001719; Aqaba,Jordan, H&S Watersports
St: 001720; Kite Zone Thailand, Kite Zone - Friendship Beach
St: 001721; Dominican Republic, Playa Punta Salinas, Playa Punta Salinas
St: 001722; Tannersville, Pa (Pocono Township), Pocono Township
St: 001723; Dahab LightHouse, Dahab LightHouse (1chip.ru station)
St: 001724; Newark, Stoneham II
St: 001725; Sherman CT, Sherman CT Weather
St: 001726; Estación Pueblo Esther, MeteoStar
St: 001727; Frankton, Hamilton, Elite Weather Systems Hamilton
St: 001728; Xàbia - Saladar, Saladar
St: 001729; Raglan Town, Raglan Town Test
St: 001730; Agroconsultor SA, MeteoStar Team
St: 001731; Old St Mellons, St Ederyn Village
St: 001732; Kite Falcon, KiteFalcon
St: 001733; Guardamar del Segura, playa 2, Cortinadecor-2
St: 001734; Scotland,Tinto Hill, Tinto
St: 001735; Sheregesh, Zelenaya, CafeNebo
St: 001736; AWINOBA, MeteoStar Team
St: 001737; Baños y Mendigo, Murcia, PD1SDF
St: 001738; Argentina, Buenos Aires, Miramar, Simbita
St: 001739; cerro quilanlahue, victor hugo marcerou
St: 001740; LU5FOW-ELORTONDO, MeteoStar Team
St: 001741; CASA RURAL BAÑOS DE VIVAQUE, MeteoStar
St: 001742; Krupka, PG TOP 600 n.m.
St: 001743; Corrientes Capital, MeteoStar Team
St: 001744; Roxen, Tvärskogsudde, LINSURF
St: 001745; Kite Club Marsala KSP, Kite Club Marsala KSP
St: 001746; Derwent Reservoir Sailing Club, DerwentSC
St: 001747; Langači airport, Limbaži, Skydive Latvia
St: 001748; Longjumeau, lju
St: 001749; Dolphin Beach, Namibia, Dolphin Beach
St: 001750; Obidos Lagoon, WIND_LAGOA
St: 001751; Lobbes, Lobbes
St: 001752; Westenschouwen, Haus am Meer
St: 001753; Bugg Point Upper Hamlin Lake, BlackDogWx
St: 001754; ARRECIFE, VELA LATINA LANZAROTE
St: 001755; Route 66 District, Allstate Security INC
St: 001756; Makani Beach Club, Makani
St: 001757; Nové Mlýny, YC Dyje přístav
St: 001758; Colbourne Farm, ASEARCH RESEARCH STATION
St: 001759; Novorossiysk - Surf Station, Novorossiysk - Surf Station - 1chip.ru station
St: 001760; SKH-GV, SKH-GV 1chip.ru
St: 001761; Rybinsk "58 Shirota", Rybinsk "58 Shirota" 1chip.ru station
St: 001762; Seichamps, Meteo54
St: 001763; Seichamps, Davis vantage
St: 001764; Seichamps, Davis
St: 001765; miltenberg-schippach, schippach(miltenberg)
St: 001766; Seichamps, station Davis
St: 001767; 
St: 001768; Deepdale Farm, Deepdale Backpackers & Camping
St: 001769; Mar del Plata, Mardel
St: 001770; Barreal, Calingasta, MeteoStar Team
St: 001771; Pergamino Centro, SMHPGOP01
St: 001772; Clube São Conrado de Voo Livre, Centro de Voo Livre
St: 001773; Harbour Heights, Simon's Town, Harbour Heights
St: 001774; Norway, Dimmelsvik, HPGK Kvitegga
St: 001775; Norway, Husnes, HPGK Nordfjellet
St: 001776; Makani Beach Club El Gouna, Makani Beach Club El Gouna
St: 001777; Makani Beach Club, Makani Beach Club
St: 001778; Makani Beach Club, Makani Beach Club
St: 001779; Makani Beach Club, Makani Beach Club
St: 001780; EL BOLSÓN RIO NEGRO PATAGONIA ARGENTINA, FM CUMBRE 98.3 EL BOLSÓN RIÓ NEGRO ARGENTINA
St: 001781; Mosjøen, Kulstaddalen, Kulstaddalen
St: 001782; La Pulperia del Kayakista, Wallis&Gill
St: 001783; Sierra, Lantana, TX, Sierra
St: 001784; Chileno Beach, Club
St: 001785; Argenteau, Argenteu
St: 001786; Horstermeer, Nieuw Walden
St: 001787; KiteWorldWide Kitecenter Djerba, KiteWorldWide Kitecenter Djerba
St: 001788; Laguuni, Laguuni
St: 001789; Kilmallock, Eguraldia
St: 001790; Kilmallock, Eguraldia
St: 001791; Twister, Lobería, MeteoStar Team
St: 001792; Zlatibor Vojska, Paragliding TakeOff , PK Cirus Zlatibor
St: 001793; Bakers Bay, Bakers Bay (945)
St: 001794; Hoiek van Holland, Meteo station Mercator
St: 001795; Seaton Devon, Honeyditches
St: 001796; Traditons, Traditons
St: 001797; Santa Maria degli Angeli, Meteosantamaria
St: 001798; Accommodation Halls of TEIEP, Accommodation Halls of TEIEP
St: 001799; Frankston South, Frankston South
St: 001800; Fanes Beach, Meltemi Kite Club
St: 001801; Omonville la rogue, France, Omonville
St: 001802; Julianadorp, Meteo-Julianandorp
St: 001803; Müllheim, Koch
St: 001804; Horseshoe Bend, Idaho USA, Lone Pine Ranch
St: 001805; Tributary Circle, Anchorage, Alaska, Scobey's Weather
St: 001806; гора Толстуха, Солоновка
St: 001807; San Justo, Q Meteorology
St: 001808; Jílové, PG Land Jílové 330m n. m.
St: 001809; FullPower Arabatka, FullPower Arabatka - 1chip.ru station
St: 001810; Bairro Languiru - Teutônia/RS, Bairro Languiru - Teutônia/RS
St: 001811; Linha Welp - Teutônia/RS, Linha Welp - Teutônia/RS
St: 001812; Morro das Antenas - Teutônia/RS, Morro das Antenas - Teutônia/RS
St: 001813; Lagoa da Harmonia - Teutônia/RS, Lagoa da Harmonia - Teutônia/RS
St: 001814; Linha Catarina - Teutônia/RS, Linha Catarina - Teutônia/RS
St: 001815; MKSC, Milton Keynes Sailing Club
St: 001816; AGIA PARASKEUI, AGIA PARASKEUI
St: 001817; GWG Ñandubaysal, MeteoStar Team
St: 001818; Lombok, Kaliantan Kitesurf
St: 001819; Clarkston, MI, Top of Ashford
St: 001820; Mar Del Tuyú Met, MeteoStar Team
St: 001821; Estación San Martín 381,, MeteoStar
St: 001822; El Valle Golf Resort, MeteoGalena
St: 001823; Hetlebakken, Hetlebakken Station
St: 001824; Seichamps, Meteo Seichamps
St: 001825; Southwest Hoosick ,New York, KnyHoosick
St: 001826; morsgail
St: 001827; Cayucos, CA, Chris Kopack
St: 001828; Nové Mlýny, YC Dyje Kite Beach
St: 001829; Aberavon, Aberavon
St: 001830; Vartiokylänlahti, Rastila
St: 001831; Norway, Trøndelag, Nordre Valset, Valset
St: 001832; Uetliburg, Gommiswald - oberer Zürichsee, www.hopp.pro
St: 001833; Jugovec, ZK Perun Novi Marof
St: 001834; Brugge, Male-Sint Kruis
St: 001835; 송도 저유소, 박준영
St: 001836; Kalnik, Paragliding klub FENIKS
St: 001837; Sint Kruis - Brugge, Male-Sint Kruis
St: 001838; Littleton-on-Severn, Lit
St: 001839; Berdyansk, Soloma
St: 001840; Mui Ne, Unique Mui Ne Resort&Spa, Mana Kite Center Mui Ne
St: 001841; Viganj, Waterdonkey 2
St: 001842; Gokceada, Crazy Island
St: 001843; noname, Boardhouse Camp (testuojama)
St: 001844; common, test
St: 001845; Medemblik, WS Medemblik
St: 001846; South Lake Union, The Center for Wooden Boats
St: 001847; LE YAGGA BASE NAUTIQUE, LE YAGGA
St: 001848; pinedo, ISABEL II
St: 001849; Hook Head, Wexford, Ireland, Hook Lighthouse
St: 001850; Villa Real, MeteoVR
St: 001851; Saint-Petersburg, Lakhta, Yacht club "Gercules", Your Wind
St: 001852; Tarquinia Lido, Kiteschool Tarquinia
St: 001853; Zeebrugge, Zeebrugge Dam Instrumentation
St: 001854; Helderview, TAS
St: 001855; Piedras Blancas, MeteoStar
St: 001856; La Tusquita, MeteoStar Team
St: 001857; Nontun, CHCSTARCH1
St: 001858; Lakhta, Saint-Petersburg, Russian Federation, Your Wind windsurf station
St: 001859; Bolshaya Izhora, Saint-Petersburg, Bolshaya Izhora - south50
St: 001860; Al lith, AbuSameh Station
St: 001861; Kammer Schörfling, kammerwetter
St: 001862; Ulahol, Marvelwind - Ulahol
St: 001863; Estación Meteorológica Jaaukanigás, MeteoStar
St: 001864; Table View, Westriding01
St: 001865; paleo faliro
St: 001866; Farjestaden, Granudden
St: 001867; Bryansk, Kitespot_orlik5
St: 001868; Vyshgorod, Funsurf@Vyshgorod
St: 001869; Кайт-приют BeKiter с.Каменское, Крым, BeKiter
St: 001870; Agrofina SA, MeteoStar Team
St: 001871; Weerstation Nieuwkoop, Weerstation Nieuwkoop
St: 001872; Vieste-spiaggia-lunga_garganosurf, vieste-garganosurf
St: 001873; Morrison, MeteoStar
St: 001874; EESA San José, MeteoStar
St: 001875; Mountain Home, AR, W7NMD
St: 001876; 
St: 001877; Mara Lake, BC, Mara Launch
St: 001878; avenida das rendeiras, aldeia da conceição
St: 001879; Matalaa, wallisgliss2
St: 001880; KWCLUB, /////// 1chip.ru station
St: 001881; DOHA MARINE SPORTS CLUB, DMSC
St: 001882; UK, Devon, Exmouth, Edge: Exmouth Duck Pond
St: 001883; Kokkorevo, Leningrad obl, Russian Federation, Ladoga park, Kokkorevo
St: 001884; Uliyanovsk, Staraya Mayna, Uliyanovsk 1chip station
St: 001885; Kokkorevo, Leningrad obl., Russian federation, Kokkorevo Ladoga park
St: 001886; Zelenogorsk, Zelenogorsk
St: 001887; New Caledonia, Païta, Gadji
St: 001888; Newark, NY, Stoneham II
St: 001889; Newark, NY, @NewarkWx
St: 001890; Püünsi / Rohuneeme, Andrei Gapejev
St: 001891; White Sands Resort, Viet Nam, Mui Ne, Kite centr IKO К1
St: 001892; Kronstadt, Saint-Petersburg, Russian Federation, KingWinch KS
St: 001893; France, penvénan, Aan port blanc
St: 001894; Yard, Glassport Weather
St: 001895; Texel, Surfschool Foamball
St: 001896; Willow, Alaska (Kelly Lake), EW8287
St: 001897; Santa Catalina, MeteoStar Team
St: 001898; Escuela 8, MeteoStar Team
St: 001899; Escuela 11, MeteoStar
St: 001900; Casco Urbano, MeteoStar
St: 001901; EcoPunto, MeteoStar
St: 001902; RP6 - Sta. Rosa, MeteoStar Team
St: 001903; Sterkfontein Dam, Sterkies Station
St: 001904; Kiteriders Donji Štoj, Kiteriders Montenegro
St: 001905; île de Ré, PLANETE SPORTS ET LOISIRS
St: 001906; Bredene, Inside Oostende
St: 001907; Westfália, Westfália - 124 m
St: 001908; Ruru, 1042
St: 001909; ISRAEL, MIGDAL
St: 001910; Jastarnia - Torpedownia, Surfszkola.pl - ATMESYS - Torpedownia Jastarnia
St: 001911; Anglet, Cavaliers
St: 001912; Rhodes, Prasonisi, Wind4Fun
St: 001913; jeneponto kitesurfing, Batikite resort
St: 001914; San Antonio de Areco, Mbecchi
St: 001915; Canet En Roussillon, Club Nautique Canet
St: 001916; Figueira da Foz - Cova Gala, AKFM-Cova-Gala
St: 001917; Norway, Bergen, Bergen Slettegga
St: 001918; Al Minaa, WindUp
St: 001919; Lavaux-Sainte-Anne, Arc Majeur
St: 001920; KiteZone.pl-Chałupy 3, ATMESYS 700 - KiteZone.pl
St: 001921; Lämmijärv, Räpina Sadam, Eik
St: 001922; Bento Gonçalves, Cidade Alta
St: 001923; Ring, Co. Waterford, Ring
St: 001924; Sevilla - Triana. Andalucía, España., Davis Vantage Pro2 Plus.
St: 001925; Podersdorf Nord-Nord Strand, kitesurfing.at
St: 001926; SMHPGOP08, MeteoStar Team
St: 001927; Torpedownia Jastarnia
St: 001928; Est. María Teresa, Quimili, MeteoStar
St: 001929; Sv. Ivan, Sv. Ivan
St: 001930; jeneponto kitesurfing, jeneponto kitesurfing
St: 001931; wx@lasaguilas, Davis Vantage Vue
St: 001932; Zaostrovye, RusWind
St: 001933; Leeward, Providenciales, Turks and Caicos Islands, Big Blue Collective
St: 001934; Dahab Baby Bay, Dahab Baby Bay
St: 001935; Søgne, Norway, Andreas Salthaug
St: 001936; Norway, Lyngdal, Andreas Salthaug
St: 001937; Galilea, MeteoStar
St: 001938; Buzignargues, ILANGUED156
St: 001939; Bomberos Voluntarios Alejandro Giardino, MeteoStar Team
St: 001940; Cape Town, Kitebeach, Board and Kite Africa
St: 001941; Trat, panjie
St: 001942; Rio Tinto, Rio Tinto - weatherstation
St: 001943; Vassiliki, Lefkas, Club Vass
St: 001944; VHT, updatetest
St: 001945; San Jose, Cerro Gordo
St: 001946; Duplja, Novi Vinodolski, GKT Ivanj d.o.o.
St: 001947; Lozenets, Lozenets Surf Club
St: 001948; Río de la Plata, Nautispots, MeteoStar Team
St: 001949; USA, Hi, Kailua, Lanikai Beach
St: 001950; Nederland, Aalsmeer, WSCA weerstation
St: 001951; EL PORT DE LA SELVA, METEO EL PORT DE LA SELVA
St: 001952; LLANÇÀ, METEO LLANÇÀ
St: 001953; Squamish WX, Squamish Downtown
St: 001954; Clarksville, TN, CTWX
St: 001955; Florida, Florida
St: 001956; Rio de la Plata, Río de la Plata
St: 001957; SanCarlos01, MeteoStar
St: 001958; WISCH Windsurfclub Hallwilersee, WISCH Windsurfclub Hallwilersee
St: 001959; Spain, Gava, Gava mar
St: 001960; Tanners, Tanners
St: 001961; Wenduine, Surfing Elephant
St: 001962; Foligno LIAF Airport, Foligno LIAF
St: 001963; Said Afkir, Said Afkir
St: 001964; Seignosse, Bourdaines
St: 001965; Katzenthal, Davis Instruments Vantage Pro 2 Plus
St: 001966; Spinea, IW3HVB
St: 001967; Estancias-GA, MeteoStar Team
St: 001968; Vršac Kula, Paragliding TakeOff, Aeronautical Union of Serbia
St: 001969; Paso Cordoba, Paso Cordoba PARAPENTE
St: 001970; Forsi, Forsit
St: 001971; Daganzo de arriba, Meteodaganzo
St: 001972; Berezovka, Berezovka 1chip.ru station
St: 001973; Meteo Arrufo, MeteoStar
St: 001974; Richland, Ave - Urbana, IA, N0XUT
St: 001975; BIGAND, LU9FW-JOSE LUIS ROCA
St: 001976; VILLA CAÑAS SANTA FE, CAMPO PESCE
St: 001977; C.F.P. N° 6, MeteoStar
St: 001978; Edderton Highland, Edderton Weather
St: 001979; Bebington, merseysideweather
St: 001980; Norway, Rogaland, Gjesdal, Asbjørn Njå
St: 001981; Turkey,Antalya,Tekirova, Escape Land station
St: 001982; Turkey,Antalya,Tahtali, Escape East station
St: 001983; Häädemeeste, Andrei Gapejev
St: 001984; WS-2902A(Mezzanine), WS-2902A(Mezzanine)
St: 001985; Pirita, Andrei Gapejev
St: 001986; Loksa port, Andrei Gapejev
St: 001987; MeteoVentana, MeteoStar Team
St: 001988; Matriz - Horta, Anticiclone Açores 01
St: 001989; Yacolt, East Wilson
St: 001990; Struisbaai, Struisbaai
St: 001991; MYCAI RAWSON II, MeteoStar Team
St: 001992; MYCAI RAWSON III, MeteoStar Team
St: 001993; malvinas Argentinas 266 - Rufino ( Santa fe ) - Argrntina, rufino
St: 001994; Durban Bluff, Durban Bluff
St: 001995; KARAMRSL, EREGLI
St: 001996; Pöllau, Steiermark, Austria, Pöllau
St: 001997; Pöllauberg, Steiermark, Austria, Pöllauberg (#877)
St: 001998; Cloyes, Cloyes
St: 001999; Benissa, Convent
St: 002000; Sweden, Stockholm, Torö Örudden
St: 002001; Taiba Ceara, Pousada Blauset Taiba
St: 002002; Bottelier - Zoutpannen, Bij Geurts
St: 002003; Finca Acantilados, MeteoStar Team
St: 002004; Pavin Centro, MeteoStar
St: 002005; Barra Nova, Escape pousada
St: 002006; Wilson Creek, Smyth/Grayson Weather
St: 002007; Gunten, Badhuus Gunten
St: 002008; Stocka, Rönnskär
St: 002009; Friedrichshafen Bodensee, Friedrichshafen West
St: 002010; Cromane, MidKerry
St: 002011; Nokkala, Nokkala Satama
St: 002012; Spaulding, W0PHX
St: 002013; MAJANICHO - North-Shore, FVP
St: 002014; Dibba, Fujairah, Sandy Beach Hotel
St: 002015; Russia, Volga River, Ploski, 1098
St: 002016; Piešťany, Piešťany
St: 002017; La Herradura, MeteoStar Team
St: 002018; BEPPO CLIMA, MeteoStar
St: 002019; Unknown spot, Unknown WG Station
St: 002020; Bad Hindelang, Spieser Hindelang
St: 002021; Clifton Park, NY, KNYCLIFT14
St: 002022; Queimadona, Queimadona
St: 002023; Garbatella, Garbatella ID135
St: 002024; Elektrenai, EBK Poseidonas
St: 002025; Milepat, Milepat
St: 002026; SMHPGOP06, MeteoStar
St: 002027; Morocco Casablanca, HOME ANFA
St: 002028; Puerto Norte, Wallis&Gill Pruebas
St: 002029; Lagos Yacht Club - Lagos Island, LYC
St: 002030; Agrofil SRL, Q Meteorology
St: 002031; Fouesnant, Fouen 29170 - IFOUES3
St: 002032; Herzlia, Marina Herzlia
St: 002033; Fouesnant, Fouen 29170
St: 002034; breda Oost, Weerstation Breda
St: 002035; Estacion Meteorológica, MeteoStar
St: 002036; USA, NJ, Seaside Park, Seaside Park, NJ
St: 002037; Bonaparte, Bonaparte
St: 002038; daugava, mana
St: 002039; Malacate, ITUXPANM
St: 002040; Austria, Sankt Gilgen, 12erHorn Gipfel, Startpl. Flugschule Salzkammergut
St: 002041; Helmsley, East Side of Helmsley
St: 002042; CLUB NAUTICO SAN ISIDRO, CNSI
St: 002043; ground, Mirko Tocilj
St: 002044; Hagins Prong, Akers Weather
St: 002045; Yatch Clube Santo Amaro, YCSA
St: 002046; San Enrique, Kitesurfing Guimaras
St: 002047; Vieste, Viestemeteolive
St: 002048; Port Vendres, 1108
St: 002049; BAT GALIM HAIFA, חיפה כנסיה
St: 002050; AKKO PALM BEACH, עכו חוף התמרים
St: 002051; 台灣
St: 002052; Corralejo - Kite Beach, LINE UP / TAO Hotel
St: 002053; Cap Fréhel, La Chèvrerie du Cap
St: 002054; ufes, goa-ufes
St: 002055; Kharkiv, WA_48600
St: 002056; Anthaven-Aspat, Bodrum
St: 002057; Test, Test Station
St: 002058; Australia, NSW, Sydney, Hurstville, Miles Park
St: 002059; lu6dp, MeteoStar Team
St: 002060; Australia, NSW, Sydney, Mortdale, Miles Park
St: 002061; GOAMet-Ufes/Vitoria, GOAMet-Ufes/Vitoria
St: 002062; Unknown spot, Unknown WG Station
St: 002063; Unknown spot, Unknown WG Station
St: 002064; Unknown spot, Unknown WG Station
St: 002065; Unknown spot, Unknown WG Station
St: 002066; Unknown spot, Unknown WG Station
St: 002067; Unknown spot, Unknown WG Station
St: 002068; Unknown spot, Unknown WG Station
St: 002069; Unknown spot, Unknown WG Station
St: 002070; Unknown spot, Unknown WG Station
St: 002071; Unknown spot, Unknown WG Station
St: 002072; Unknown spot, Unknown WG Station
St: 002073; Unknown spot, Unknown WG Station
St: 002074; Unknown spot, Unknown WG Station
St: 002075; Unknown spot, Unknown WG Station
St: 002076; Unknown spot, Unknown WG Station
St: 002077; Unknown spot, Unknown WG Station
St: 002078; Unknown spot, Unknown WG Station
St: 002079; Unknown spot, Unknown WG Station
St: 002080; Unknown spot, Unknown WG Station
St: 002081; Unknown spot, Unknown WG Station
St: 002082; Unknown spot, Unknown WG Station
St: 002083; Unknown spot, Unknown WG Station
St: 002084; Unknown spot, Unknown WG Station
St: 002085; Unknown spot, Unknown WG Station
St: 002086; Unknown spot, Unknown WG Station
St: 002087; Unknown spot, Unknown WG Station
St: 002088; Unknown spot, Unknown WG Station
St: 002089; Unknown spot, Unknown WG Station
St: 002090; Unknown spot, Unknown WG Station
St: 002091; Unknown spot, Unknown WG Station
St: 002092; Unknown spot, Unknown WG Station
St: 002093; Unknown spot, Unknown WG Station
St: 002094; Unknown spot, Unknown WG Station
St: 002095; Unknown spot, Unknown WG Station
St: 002096; Unknown spot, Unknown WG Station
St: 002097; Unknown spot, Unknown WG Station
St: 002098; Unknown spot, Unknown WG Station
St: 002099; Unknown spot, Unknown WG Station
St: 002100; Unknown spot, Unknown WG Station
St: 002101; Unknown spot, Unknown WG Station
St: 002102; Cruce Pichanal, MeteoStar
St: 002103; Kanali_home
St: 002104; Unknown spot, Unknown WG Station
St: 002105; Unknown spot, Unknown WG Station
St: 002106; Unknown spot, Unknown WG Station
St: 002107; Unknown spot, Unknown WG Station
St: 002108; Unknown spot, Unknown WG Station
St: 002109; Tandil, Joshua Corino
St: 002110; Němčičky, Oregon Scientific WMR 300
St: 002111; Porto Alegre, Estação Higienópolis
St: 002112; Club Nàutic S'Estanyol, cnestanyol
St: 002113; Longhorn Estates, Mini's
St: 002114; Santa Catalina, MeteoStar Team
St: 002115; Ragaciems, Ragaciems
St: 002116; Eich - Sempachersee, Surfclubeich
St: 002117; São Leopoldo (centro), Fsporket - Sao Leopoldo
St: 002118; PUZZITEDDU, Meteobridge Puzziteddu
St: 002119; Puzziteddu, Windresort - Asd Reef Kiteschool
St: 002120; Fouesnant, Fouen 29170
St: 002121; Ovīši, Mārtiņš Ozoliņš
St: 002122; Hallett Cove, ISAHALLE1
St: 002123; Mount Martha, Mount Martha Yacht Club
St: 002124; Fac. Agronomía UNLPam, MeteoStar
St: 002125; Les Rochers, L'Étang-des-Caps, Les Rochers
St: 002126; Australia, NSW, Sydney, Kogarah, Miles Park
St: 002127; daugava, city yachtclub, daugava, centrs
St: 002128; Falster, Væggerløse
St: 002129; CABA, Pasillo
St: 002130; USA, AZ, Phoenix, Shaw Butte - AZHPA
St: 002131; bruno le Stang, bruno le Stang
St: 002132; Bergeggi (SV), Volo Arcobaleno
St: 002133; Benalla, Benalla Precast
St: 002134; ALMERIMAR, ALMERIMAR
St: 002135; Porto, ISEP
St: 002136; Mar del Tuyú, Mar del Tuyú Met
